mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,boot,Exclusions,hdi_contains_zero
0.072,0.067,-0.049,0.211,0.001,0.001,2259.0,1816.0,2260.0,1380.0,1.0,187,Across Data,True
-0.116,0.074,-0.264,0.024,0.002,0.001,2136.0,1922.0,2125.0,1594.0,1.0,188,Across Data,True
0.058,0.083,-0.113,0.21,0.002,0.001,2167.0,1518.0,2175.0,1544.0,1.0,189,Across Data,True
-0.009,0.065,-0.129,0.13,0.001,0.001,2537.0,1215.0,2535.0,1485.0,1.0,190,Across Data,True
0.109,0.069,-0.027,0.241,0.001,0.001,2160.0,1963.0,2147.0,1628.0,1.0,191,Across Data,True
0.005,0.065,-0.134,0.125,0.001,0.001,2689.0,1193.0,2697.0,1653.0,1.0,192,Across Data,True
0.045,0.067,-0.078,0.181,0.001,0.001,2195.0,1444.0,2201.0,1558.0,1.0,193,Across Data,True
-0.004,0.068,-0.135,0.129,0.001,0.001,2536.0,1082.0,2571.0,1653.0,1.0,194,Across Data,True
0.024,0.064,-0.103,0.145,0.001,0.001,2434.0,1473.0,2431.0,1737.0,1.0,195,Across Data,True
-0.025,0.066,-0.159,0.103,0.001,0.001,2866.0,1346.0,2863.0,1498.0,1.0,196,Across Data,True
0.036,0.07,-0.109,0.164,0.001,0.001,2404.0,1326.0,2406.0,1717.0,1.0,197,Across Data,True
-0.098,0.074,-0.241,0.048,0.001,0.001,2753.0,2084.0,2734.0,1544.0,1.0,198,Across Data,True
-0.027,0.071,-0.16,0.118,0.002,0.001,2136.0,1401.0,2130.0,1691.0,1.0,199,Across Data,True
0.127,0.07,-0.008,0.271,0.001,0.001,2542.0,2220.0,2542.0,1711.0,1.0,200,Across Data,True
-0.051,0.064,-0.178,0.067,0.001,0.001,2204.0,1300.0,2215.0,1323.0,1.0,201,Across Data,True
0.023,0.078,-0.128,0.178,0.001,0.002,2910.0,995.0,2909.0,1592.0,1.0,202,Across Data,True
0.084,0.072,-0.074,0.208,0.001,0.001,2721.0,1817.0,2720.0,1406.0,1.01,203,Across Data,True
-0.022,0.065,-0.144,0.106,0.001,0.001,2464.0,1330.0,2477.0,1498.0,1.0,204,Across Data,True
0.152,0.071,0.014,0.293,0.001,0.001,2909.0,2136.0,2874.0,1376.0,1.0,205,Across Data,False
0.085,0.066,-0.054,0.209,0.001,0.001,2422.0,2246.0,2434.0,1813.0,1.0,206,Across Data,True
0.184,0.068,0.055,0.322,0.001,0.001,2317.0,1945.0,2325.0,1501.0,1.01,207,Across Data,False
0.17,0.073,0.022,0.31,0.002,0.001,2367.0,2042.0,2364.0,1734.0,1.0,208,Across Data,False
-0.052,0.063,-0.174,0.075,0.001,0.001,2799.0,1769.0,2832.0,1567.0,1.0,209,Across Data,True
0.005,0.071,-0.129,0.139,0.001,0.002,2889.0,960.0,2872.0,1518.0,1.0,210,Across Data,True
0.138,0.072,-0.013,0.271,0.001,0.001,2655.0,2509.0,2651.0,1748.0,1.0,211,Across Data,True
0.06,0.068,-0.072,0.193,0.001,0.001,2471.0,1503.0,2463.0,1691.0,1.0,212,Across Data,True
0.083,0.075,-0.069,0.221,0.002,0.001,2299.0,1575.0,2326.0,1687.0,1.0,213,Across Data,True
0.01,0.076,-0.138,0.155,0.001,0.002,2942.0,971.0,2957.0,1734.0,1.0,214,Across Data,True
0.086,0.068,-0.043,0.218,0.001,0.001,2304.0,1778.0,2307.0,1556.0,1.0,215,Across Data,True
0.057,0.062,-0.064,0.181,0.001,0.001,2691.0,1877.0,2687.0,1541.0,1.0,216,Across Data,True
0.014,0.073,-0.122,0.162,0.001,0.001,2492.0,1240.0,2485.0,1712.0,1.0,217,Across Data,True
-0.105,0.069,-0.237,0.034,0.001,0.001,2763.0,2031.0,2782.0,1273.0,1.0,218,Across Data,True
0.005,0.069,-0.132,0.135,0.001,0.001,2400.0,1124.0,2394.0,1587.0,1.0,219,Across Data,True
-0.02,0.07,-0.158,0.119,0.001,0.001,2395.0,1323.0,2407.0,1627.0,1.0,220,Across Data,True
-0.033,0.076,-0.172,0.123,0.001,0.002,2768.0,1212.0,2755.0,1413.0,1.0,221,Across Data,True
0.044,0.07,-0.101,0.175,0.001,0.001,2475.0,1486.0,2476.0,1416.0,1.0,222,Across Data,True
-0.064,0.081,-0.209,0.103,0.002,0.001,2809.0,1762.0,2817.0,1648.0,1.0,223,Across Data,True
-0.048,0.067,-0.179,0.091,0.001,0.001,2061.0,1844.0,2122.0,1205.0,1.0,224,Across Data,True
0.092,0.072,-0.049,0.231,0.001,0.001,2757.0,1982.0,2774.0,1524.0,1.0,225,Across Data,True
-0.049,0.07,-0.184,0.086,0.002,0.001,2101.0,1402.0,2093.0,1521.0,1.0,226,Across Data,True
-0.019,0.068,-0.148,0.113,0.001,0.001,2763.0,1337.0,2760.0,1785.0,1.0,227,Across Data,True
-0.035,0.064,-0.16,0.09,0.001,0.001,2581.0,1483.0,2581.0,1760.0,1.0,228,Across Data,True
-0.07,0.077,-0.233,0.072,0.001,0.001,2867.0,1429.0,2865.0,1631.0,1.0,229,Across Data,True
